name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Anomali Coffee Menteng,"Jl. Teuku Cik Ditiro No.52, RT.10/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",store.anomalicoffee.com,(021) 3106370,4603,4.5,-6.1994197,106.8344409
Bakoel Koffie Cikini,"Jl. Cikini Raya No.25, RT.16/RW.1, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",bakoelkoffie.com,(021) 31936608,5264,4.4,-6.1878471,106.8343817
Giyanti Coffee Roastery,"Jl. Surabaya No.20, RT.15/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",giyanticoffeeroastery.com,(021) 31923698,3435,4.7,-6.1988632,106.8369674
Saudagar Kopi Sabang,"Jl. H. Agus Salim No.26F, RT.2/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",saudagar-kopi.com,(021) 3143270,2441,4.5,-6.1847025,106.8222849
Goedkoop,"Jl. Bendungan Hilir No.62, RT.5/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",instagram.com,(021) 5734430,2289,4.4,-6.2019784,106.7665497
Watt Coffee,"The Capitol Park, Apartment, Jl. Salemba Raya No.16, RT.3/RW.6, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,0878-8111-1413,569,4.4,-6.197455,106.8477468
TOKO KOPI MARU,"33, Jl. Pintu Air Raya No.33, RT.13/RW.8, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",instagram.com,0812-8889-2860,479,4.7,-6.1647453,106.8292092
Kopi Toko Djawa (Menteng),"Jl. Johar No.34, RT.18/RW.6, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",,,529,4.5,-6.1871738,106.8280259
KEN ALIY COFFEE - KOPI ENAK SPACES,"Jl. Bend. Hilir Gg. 3 No.11, RT.10/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",m.tokopedia.com,0811-1900-116,516,4.6,-6.2144242,106.8107555
Workroom Coffee,"Jl. Cikini Raya No.9, Menteng, RT.16/RW.1, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",instagram.com,0811-8124-908,865,4.3,-6.1875999,106.8342262
"1/15 Coffee, Menteng","Jl. Dr. Kusuma Atmaja No.79, RT.10/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",1-15coffee.com,0812-9000-2128,2392,4.5,-6.1978752,106.8216617
Jakarta Coffee House,"Jl. K.H. Wahid Hasyim No.59, RT.1/RW.3, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",jakartacoffeehouse.com,0857-3627-7859,417,4.6,-6.1978751,106.8139368
Coffee 31 Menteng,"Jl. Dr. GSSJ Ratulangi No.31, RT.2/RW.3, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,663,4.6,-6.1978751,106.8139368
JAKARTA COFFEE HOUSE,"Jl. Tanah Abang III No.31, RT.3/RW.3, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,(021) 75900570,166,4.4,-6.1978751,106.8139368
See You On Top Espresso Bar,"Jl. Proklamasi No.68, RT.2/RW.5, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320",,0851-5543-6235,40,4.8,-6.1978751,106.8139368
Teras Senja,"Jl. F No.2, RT.12/RW.10, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640",teras-senja.business.site,0812-2591-7100,278,4.7,-6.2029773,106.8458872
Kedai Kopi 24 Jam,"RR7H+X5X, Jl. Kebon Sirih Barat I, RT.5/RW.4, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",,,108,4.6,-6.2029772,106.8381623
Mokapot Coffee Talk,"Jl. H. Agus Salim No.18, RT.2/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",,(021) 31905904,133,4.4,-6.1839935,106.8216194
SGNG coffee shop,"Jl. K.H. Wahid Hasyim No.31c, RT.16/RW.8, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",,0858-8344-2466,289,4.6,-6.1867206,106.8284133
Starbucks,"Jl. K.H. Wahid Hasyim No.31c, RT.16/RW.8, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",,0858-8344-2466,3845,4.6,-6.1867205,106.8206884
