name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Zocco Coffee,"Jl. Sulfat No.10, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126",,0813-3104-6434,1182.0,4.6,-7.9575386,112.642583
Jaliteng coffee shop,"Jl. Simpang Sulfat Selatan, Pandanwangi, Kec. Blimbing, Kota Malang, Jawa Timur",,0859-0311-2586,13.0,4.9,-7.9668904,112.6503833
GOD BLESS warung & ngopi,"Jl. Sulfat, RT.1/RW.1, Pandanwangi, Kec. Blimbing, Kota Malang, Jawa Timur 65124",business.site,0896-9769-0550,6.0,4.8,-7.9626326,112.6509279
Noise Coffee,"Jl. Sulfat, Pandanwangi, Kec. Blimbing, Kota Malang, Jawa Timur",instagram.com,,201.0,4.9,-7.9616631,112.6494162
WK Cafe,"Jl. Terusan Sulfat No.135, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65122",,0851-0135-0567,6.0,4.7,-7.7127849,112.3602643
Day Bay Dye,"Jl. Sulfat No.8, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126",,0812-3288-3860,111.0,4.8,-7.9609255,112.6489906
Black & Green Coffee,"2MQ2+J4G, Jl. Taman Sulfat, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65126",,0878-5999-1899,1.0,4.0,-7.9609492,112.6477458
Kopi Kepo,"Jl. Simpang Sulfat Utara X No.27, Pandanwangi, Kec. Blimbing, Kota Malang, Jawa Timur 65126",,,3.0,4.7,-7.9609472,112.6091208
Kopi studio 24 sulfat,"Jalan sulfat raya No.270D, Pandanwangi, Kec. Blimbing, Kota Malang, Jawa Timur 65126",instagram.com,,554.0,4.2,-7.9630241,112.6520253
Kopi Neneng (KONENG),"Jl. Terusan Sulfat No.13, Pandanwangi, Kec. Blimbing, Kota Malang, Jawa Timur 65145",,0819-2774-4094,5.0,5.0,-7.9633525,112.6530019
