name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Coffeelogue,,,,390,4.5,-6.1414427,106.7725491
Elmakko,,,,636,4.6,-6.1414427,106.7725491
FLEUR COFFEE,,,,636,4.4,-6.1414427,106.7725491
Narasi Coffee,,,,599,4.7,-6.1414427,106.7725491
Six Ounces Coffee,,,,2136,4.6,-6.1414427,106.7725491
Hours : Coffee - BBQ - Event Space,,,,1153,4.6,-6.1414427,106.7725491
Homebound Coffee,,,,224,4.6,-6.1414427,106.7725491
Phyllo Coffee & Kitchen,,,,194,4.3,-6.1414427,106.7725491
Copper Club Specialty Coffee,,,,769,4.7,-6.1414427,106.7725491
Ratio Coffee Brewers,,,,307,4.7,-6.1414427,106.7725491
