Dada ayam
Telur
Tempe
Tahu
Ikan tuna
Udang
Daging sapi
Kacang kedelai
Nasi putih
Roti tawar
Pasta
Ubi jalar
Jagung
Kacang tanah
Oatmeal
Kentang
Pisang
Beras merah
Sereal
Quinoa
Kacang hijau
Daging kambing
Kacang merah
Daging domba
Biji bunga matahari
Kacang polong
Kacang almond
Keju
Susu kedelai
Biji labu
Kacang mete
Ikan lele
Ikan mas
Ikan gurame
Kerang
Mie instan
Gandum utuh
Sereal gandum
Roti gandum
Kacang hitam
Ikan teri
Oncom
Edamame
Ikan kakap
Daging kerbau
Ikan bawal
Daging bebek
Ikan patin
Sarden kaleng
